name,description,image_url,chill_score,touristic_score,cultural_score,must_do_score,family_friendly_score,large_group_friendly_score,couple_friendly_score,small_group_friendly_score,budget,average_duration_hours,latitude,longitude,popularity_score,adventurous_score,off_the_beaten_path_score,fun_score,curious_score,sportive_score,originality_score
Visiter les Catacombes de Paris,Explore les tunnels souterrains remplis d'ossements et découvre l'histoire mystérieuse de Paris sous terre.,,2,3,5,5,2,3,3,4,2,1.5,48.8339,2.3325,5,4,3,3,5,1,5
Se perdre dans la Petite Ceinture,"Parcours une ancienne voie ferrée abandonnée qui traverse Paris, aujourd'hui envahie par la végétation et un espace de promenade insolite.",,4,2,4,3,4,5,3,5,1,2,48.8592,2.3657,3,4,5,4,4,3,5
Détente au Jardin des Serres d'Auteuil,Découvrez ce jardin botanique méconnu avec ses superbes serres tropicales et ses plantes rares.,,5,2,5,4,4,4,4,5,3,2,48.8435,2.2535,4,2,4,3,4,1,4
Participer à une soirée de catch à la Lucha Libre,"Vivez une soirée de catch mexicain déjanté dans un bar parisien, un spectacle unique dans une ambiance festive et décalée.",,2,3,2,4,3,5,4,5,4,2.5,48.8727,2.3442,4,5,4,5,3,3,5
Chasse au trésor au Père-Lachaise,"Participez à une chasse au trésor interactive dans le célèbre cimetière parisien, entre tombes historiques et énigmes mystérieuses.",,3,4,5,5,3,4,4,5,2,3,48.8614,2.3933,5,4,5,5,4,2,5
Explorer les égouts de Paris,"Descendez sous terre et découvrez les dessous de la ville en visitant les égouts de Paris, un réseau fascinant plein d'histoire.",,2,3,5,4,3,4,3,4,3,1.5,48.8566,2.3522,4,5,3,4,4,2,5
Randonner à Buttes-Chaumont,"Profitez d'un moment de détente et d'aventure dans ce parc méconnu, avec ses grottes artificielles et ses ponts suspendus.",,5,2,4,4,5,4,5,4,5,2,48.8809,2.3824,5,3,4,4,3,2,4
Pique-niquer au Parc de Belleville,"Un parc en hauteur offrant l'une des meilleures vues sur Paris, idéal pour une escapade relaxante avec une ambiance de quartier authentique.",,4,2,4,3,5,5,4,4,5,2,48.8725,2.3795,3,2,4,3,4,1,3
Visite guidée street art à Belleville,Découvrez les œuvres de street art cachées dans les ruelles du quartier de Belleville lors d'une visite guidée insolite.,,2,3,4,4,3,5,4,4,5,1.5,48.8729,2.3842,4,3,4,5,4,1,5
Faire du kayak sur le canal Saint-Martin,Pagayez le long du canal Saint-Martin en kayak et découvrez Paris sous un angle inédit et aventureux.,,3,4,2,4,4,5,4,5,5,2,48.8724,2.3662,4,5,5,5,4,4,5
Dormir dans une péniche,"Passez une nuit insolite à bord d'une péniche sur la Seine, pour une expérience authentiquement parisienne.",,5,3,3,4,4,3,5,4,5,12,48.8566,2.3522,4,2,4,5,3,1,5
Visiter les Arènes de Lutèce,"Découvrez cet ancien amphithéâtre romain caché dans le quartier latin, vestige inattendu de l'époque gallo-romaine à Paris.",,3,4,5,3,4,4,3,4,5,1,48.8472,2.3554,3,2,4,3,3,1,4
Découvrir l'Atelier des Lumières,Plongez dans un spectacle immersif de lumière et d'art numérique projeté sur les murs de cette ancienne fonderie.,,4,3,5,4,5,5,5,5,5,1.5,48.8635,2.3774,5,1,3,5,5,1,5
Déguster un brunch en haut du Mama Shelter,Savourez un brunch avec une vue panoramique sur Paris depuis le rooftop branché du Mama Shelter.,,5,3,3,3,4,4,5,5,5,2,48.8566,2.4133,4,2,3,4,4,1,4
Randonner au bois de Vincennes,"Explorez cet immense espace vert à l'est de Paris, parfait pour une randonnée, du vélo ou un pique-nique loin de l'agitation urbaine.",,5,2,3,3,5,5,4,5,5,2,48.8281,2.437,3,3,5,4,3,4,3
Survoler Paris en Montgolfière,"Prenez de la hauteur pour admirer Paris depuis le ciel à bord d'une montgolfière, une expérience unique et inoubliable.",,3,5,2,5,4,4,5,4,5,1,48.8271,2.312,5,5,4,5,4,3,5
Visiter le Musée des Égouts,"Plongez sous les rues de Paris pour découvrir les égouts de la ville, un voyage fascinant dans les entrailles de la capitale.",,2,3,5,3,4,3,4,4,4,1.5,48.8566,2.3522,3,3,5,3,5,1,5
Assister à un concert dans une chapelle secrète,"Participez à un concert acoustique dans l’intimité d’une chapelle cachée, pour une soirée unique et hors du temps.",,4,2,5,4,3,4,5,4,4,2,48.8642,2.335,5,2,4,5,5,1,5
Grimper à l’Observatoire Panoramique de la Tour Montparnasse,Découvrez Paris depuis l'un des plus hauts points de vue de la ville avec une vue imprenable à 360 degrés.,,3,4,4,4,4,4,5,5,4,1,48.8422,2.3211,5,2,3,4,3,2,4
Balade en Canoë sur le Canal Saint-Martin,Louez un canoë et explorez le charmant Canal Saint-Martin d'une manière amusante et différente.,,5,3,3,4,5,4,5,5,5,2,48.8719,2.3663,4,4,4,5,4,5,4
Participer à une chasse au trésor dans Montmartre,Découvrez Montmartre sous un angle ludique avec une chasse au trésor qui vous guidera à travers des endroits cachés et historiques.,,5,2,4,4,4,4,5,5,5,3,48.8867,2.3431,4,3,5,5,4,3,5
Explorer le bunker de la Gare de l'Est,"Visitez un bunker caché datant de la Seconde Guerre mondiale sous la gare de l'Est, une expérience immersive et fascinante.",,3,4,5,4,3,3,3,4,3,2,48.8769,2.3599,3,4,5,4,5,1,5
Déguster des insectes à la Cité des Sciences,Faites une expérience culinaire hors du commun en goûtant à des insectes comestibles dans un atelier à la Cité des Sciences.,,4,3,2,3,2,4,3,3,3,1.5,48.8969,2.3847,4,2,5,5,4,2,5
Découvrir les jardins secrets de Paris lors d'une balade botanique,"Une promenade tranquille à la découverte des jardins cachés de Paris, loin des foules, idéale pour les amoureux de la nature.",,5,3,4,3,4,3,4,5,4,2,48.8606,2.3376,4,2,5,4,3,1,5
Faire de l'escalade urbaine à la Défense,"Testez votre courage avec de l'escalade sur les parois modernes du quartier de la Défense, un défi urbain unique.",,3,2,3,5,3,3,3,3,4,2,48.8924,2.2369,4,5,4,4,4,5,4
Faire un escape game dans les catacombes,"Vivez une expérience immersive unique avec un escape game dans les profondeurs des catacombes de Paris, une aventure mêlant mystère et frisson.",,2,3,5,5,2,2,3,3,4,3,48.8333,2.3324,5,5,5,5,4,2,5
Participer à une soirée déguisée au Musée des Arts Forains,"Découvrez le Musée des Arts Forains lors d'une soirée déguisée privée, où vous pourrez profiter des manèges anciens tout en étant transporté dans le passé.",,4,4,5,5,4,4,5,5,4,3,48.8324,2.3889,5,3,5,5,4,1,5
Explorer les souterrains secrets de la Butte-aux-Cailles,"Partez à l'aventure dans les tunnels cachés sous la Butte-aux-Cailles, une balade souterraine insolite à Paris.",,3,2,4,4,3,2,3,3,2,2,48.8274,2.3463,4,5,5,4,4,2,5
Participer à un atelier de fabrication de parfums sur une péniche,"Créez votre propre parfum lors d'un atelier sur une péniche naviguant la Seine, alliant créativité et balade paisible.",,5,4,4,3,5,4,5,5,5,2,48.8566,2.3522,5,2,4,5,5,1,5
Découvrir le street art en trottinette électrique à Belleville,"Partez à la découverte des fresques et œuvres de street art du quartier de Belleville en trottinette électrique, une activité originale et dynamique.",,4,3,4,4,4,4,5,5,5,2,48.8728,2.3812,4,4,5,4,3,3,5
Parcours d'accrobranche au Bois de Vincennes,Vivez une aventure sportive en plein air en grimpant dans les arbres et en testant votre agilité dans le parcours d'accrobranche du Bois de Vincennes.,,3,3,3,4,5,4,5,5,5,3,48.8281,2.4338,5,4,4,5,4,5,5
Découverte des galeries souterraines de la Défense,"Explorez les galeries souterraines de La Défense, un réseau secret de tunnels et de passages qui cachent bien des surprises.",,2,3,4,4,3,3,4,4,3,2,48.8916,2.2419,4,4,5,4,3,1,5
Chasse au trésor dans le quartier du Marais,"Partez à la recherche de trésors cachés dans les rues historiques du Marais, en suivant des indices pour découvrir l'histoire et les secrets du quartier.",,4,3,5,4,5,4,5,5,5,2,48.8575,2.3628,5,3,4,5,5,2,4
Initiation à la marche nordique dans le Parc des Buttes-Chaumont,"Apprenez la marche nordique dans l'un des plus beaux parcs de Paris, une activité sportive douce mais dynamique, idéale pour se ressourcer.",,5,3,4,3,5,4,5,5,5,2,48.8799,2.3823,4,3,4,4,4,4,5